ticket_id,status,assunto
1013,new,Assunto do ticket 3
1008,new,Hello Zendesk!
1114,pending,Teste de API pelo Postman
948,pending,Enc.: Código de verificação para o suporte ao cliente Z…
901,closed,Teste
838,closed,Sem assunto
837,closed,Sem assunto
836,closed,Sem assunto
822,closed,Teste_Assinatura
806,closed,Sem assunto
523,closed,Are you ready!
522,closed,Are you ready!
519,closed,Primeiro tesete com o professor Rodrigo!
518,closed,Primeiro tesete com o professor Rodrigo!
516,closed,Thnak you!
515,closed,Are you ready!
513,closed,Are you ready!
512,closed,Minha espesa é linda!
511,closed,My printer is on fire!
510,closed,My printer is on fire!
509,closed,Primeiro tesete com o professor Rodrigo!
487,closed,Sem assunto
479,closed,Test ticket 3
480,closed,Test ticket 2
481,closed,Test ticket 1
420,closed,Sem assunto
